rank,name,position,stars,grade,school
1,Lamar Brown,DT,5,94,LSU
2,Zion Elee,DE,5,93,Maryland
3,Jackson Cantwell,OT,5,93,Miami
4,Keisean Henderson,QB,5,92,Houston
5,Immanuel Iheanacho,OT,5,92,Oregon
6,LaDamion Guyton,OLB,5,92,Texas Tech
7,Chris Henry Jr.,WR,5,92,Ohio State
8,Richard Wesley,DE,5,91,Texas
9,Jireh Edwards,S,5,91,Alabama
10,Tristen Keys,WR,5,91,Tennessee
11,Brandon Arrington,ATH,5,91,Texas A&M
12,Jared Curtis,QB,5,91,Vanderbilt
13,Dia Bell,QB,5,91,Texas
14,Faizon Brandon,QB,5,91,Tennessee
15,Kendre' Harrison,TE,5,91,Oregon
16,Tyler Atkinson,OLB,5,91,Texas
17,Jett Washington,S,5,91,Oregon
18,Keenyi Pepe,OT,4,90,USC
19,JaReylan McCoy,DE,4,90,Florida
20,Derrek Cooper,RB,4,90,Texas
21,Jake Kreul,DE,4,90,Oklahoma
22,Kaiden Prothro,TE,4,90,Georgia
23,Carter Meadows,DE,4,90,Michigan
24,Luke Wafle,DE,4,90,USC
25,Savion Hiter,RB,4,90,Michigan
26,Cincere Johnson,OLB,4,90,Ohio State
27,Ezavier Crowell,RB,4,90,Alabama
28,Felix Ojo,OT,4,90,Texas Tech
29,Xavier Griffin,OLB,4,89,Alabama
30,Ethan Feaster,WR,4,88,USC
31,Rodney Dunham,DE,4,88,Notre Dame
32,Elbert Hill,CB,4,88,USC
33,Mark Bowman,TE,4,88,USC
34,Anthony Jones,OLB,4,88,Oregon
35,Khary Adams,CB,4,87,Notre Dame
36,Calvin Russell,WR,4,87,Syracuse
37,Jorden Edmonds,CB,4,86,Alabama
38,Ian Premer,TE,4,86,Notre Dame
39,Salesi Moa,WR,4,86,Michigan
40,Deuce Geralds,DT,4,86,LSU
41,Jalen Lott,WR,4,86,Oregon
42,Kelvin Obot,OT,4,86,Utah
43,Cederian Morgan,WR,4,86,Alabama
44,Brock Harris,TE,4,86,BYU
45,Jay Timmons,CB,4,86,Ohio State
46,Kodi Greene,OT,4,86,Washington
47,Joey O'Brien,S,4,86,Notre Dame
48,Zion Robinson,WR,4,85,Stanford
49,Bralan Womack,S,4,85,Miss St
50,Ryder Lyons,QB,4,85,BYU
51,Blaine Bradford,S,4,85,Ohio State
52,Davian Groce,ATH,4,85,Florida
53,Bott Mulitalo,OT,4,85,BYU
54,Justice Fitzpatrick,CB,4,85,Georgia
55,John Turntine III,OT,4,84,Texas
56,Chauncey Kennon,CB,4,84,Florida St
57,Ekene Ogboko,OT,4,84,Georgia
58,Richard Anderson,DT,4,84,LSU
59,K.J. Edwards,RB,4,84,Texas A&M
60,Tyreek King,WR,4,84,Tennessee
61,Nolan Wilson,DE,4,84,Alabama
62,Bryce Perry-Wright,DT,4,84,Texas A&M
63,Victor Singleton,CB,4,84,Texas A&M
64,Jordan Carter,DE,4,84,Tennessee
65,Darius Gray,OT,4,84,S Carolina
66,Trenton Henderson,DE,4,84,LSU
67,Danny Odem,CB,4,84,Nebraska
68,Brady Marchese,WR,4,84,Auburn
69,Davon Benjamin,CB,4,84,Oregon
70,Tomuhini Topui,DT,4,84,USC
71,Jabari Mack,WR,4,84,LSU
72,Devin Jackson,S,4,84,Oregon
73,Zyan Gibson,CB,4,84,Alabama
74,Tyren Hornes,WR,4,84,UCF
75,Joel Wyatt,ATH,4,84,Tennessee
76,Jerquaden Guilford,WR,4,84,Ohio State
77,Tyler Merrill,OT,4,84,Notre Dame
78,Keeyun Chapman,WR,4,84,N Carolina
79,Havon Finney Jr.,CB,4,83,LSU
80,Talanoa Ili,OLB,4,83,USC
81,Khary Wilder,DE,4,83,Ohio State
82,Jonathan Hatton Jr.,RB,4,83,Oklahoma
83,Aaron Gregory,WR,4,83,Texas A&M
84,Jermaine Bishop Jr.,ATH,4,83,Texas
85,Brandon Lockhart,CB,4,83,USC
86,Kevin Brown,OT,4,83,W Virginia
87,Javian Osborne,RB,4,83,Notre Dame
88,Brysten Martinez,OT,4,83,LSU
89,Izayia Williams,OLB,4,83,Florida St
90,Julian Walker,DE,4,83,S Carolina
91,Micah Smith,OT,4,83,Illinois
92,Xavier Tiller,TE,4,83,Florida St
93,Gavin Mueller,TE,4,83,Miami
94,Camren Hamiel,CB,4,83,Texas A&M
95,Tradarian Ball,RB,4,83,Oregon
96,Tony Cumberland,DT,4,83,Oregon
97,Brian Bonner Jr.,RB,4,83,Washington
98,Jaimeon Winfield,DT,4,83,USC
99,Jamarion Matthews,DE,4,83,Alabama
100,Simeon Caldwell,OLB,4,83,Ohio State
101,Shahn Alston II,RB,4,83,USC
102,T.J. White,OLB,4,83,Tennessee
103,Jamarion Carlton,DE,4,83,Texas
104,Samari Matthews,CB,4,83,Texas
105,Maxwell Riley,OT,4,83,Ohio State
106,Simote Katoanga,DE,4,83,USC
107,Kenton Dopson III,CB,4,83,N Carolina
108,Sam Greer,OT,4,83,Ohio State
109,J'Zavien Currence,S,4,83,S Carolina
110,Andre Clarke,CB,4,83,Kentucky
111,Naeem Burroughs,WR,4,83,Clemson
112,Bowe Bentley,QB,4,83,Oklahoma
113,Jordan Smith,S,4,83,Georgia
114,Danny Beale,DT,4,83,Arkansas
115,Davion Brown,WR,4,83,Virginia Tech
116,Elijah Golden,DE,4,83,Notre Dame
117,Asharri Charles,OLB,4,83,Miami
118,Pierre Dean Jr.,DT,4,83,Georgia
119,Samuel Roseborough,OT,4,83,Texas A&M
120,Jordan Thomas,CB,4,83,Ohio State
121,Jett Thomalla,QB,4,83,Nebraska
